date,price_index
1916-01-01,4.53459
1917-01-01,5.34359
1918-01-01,6.26717
1919-01-01,7.22201
1920-01-01,8.35045
1921-01-01,7.43728
1922-01-01,6.97896
1923-01-01,7.10395
1924-01-01,7.13520
1925-01-01,7.30881
1926-01-01,7.37478
1927-01-01,7.23242
1928-01-01,7.14909
1929-01-01,7.14909
1930-01-01,6.95813
1931-01-01,6.33662
1932-01-01,5.68386
1933-01-01,5.38873
1934-01-01,5.57622
1935-01-01,5.71858
1936-01-01,5.77761
1937-01-01,5.99288
1938-01-01,5.87135
1939-01-01,5.79497
1940-01-01,5.83663
1941-01-01,6.13523
1942-01-01,6.80535
1943-01-01,7.21159
1944-01-01,7.32964
1945-01-01,7.49630
1946-01-01,8.13170
1947-01-01,9.30181
1948-01-01,10.01706
1949-01-01,9.91984
1950-01-01,10.02748
1951-01-01,10.81565
1952-01-01,11.06217
1953-01-01,11.15244
1954-01-01,11.18717
1955-01-01,11.15592
1956-01-01,11.32605
1957-01-01,11.70451
1958-01-01,12.02395
1959-01-01,12.14547
1960-01-01,12.32255
1961-01-01,12.45449
1962-01-01,12.60379
1963-01-01,12.76004
1964-01-01,12.92323
1965-01-01,13.12808
1966-01-01,13.52390
1967-01-01,13.89889
1968-01-01,14.49262
1969-01-01,15.28427
1970-01-01,16.17660
1971-01-01,16.87102
1972-01-01,17.42309
1973-01-01,18.49945
1974-01-01,20.54453
1975-01-01,22.42294
1976-01-01,23.71110
1977-01-01,25.25272
1978-01-01,27.17974
1979-01-01,30.23868
1980-01-01,34.33578
1981-01-01,37.88429
1982-01-01,40.20713
1983-01-01,41.49876
1984-01-01,43.28343
1985-01-01,44.81811
1986-01-01,45.66878
1987-01-01,47.34234
1988-01-01,49.27283
1989-01-01,51.65124
1990-01-01,54.43935
1991-01-01,56.74483
1992-01-01,58.46353
1993-01-01,60.18917
1994-01-01,61.75857
1995-01-01,63.49116
1996-01-01,65.35222
1997-01-01,66.87995
1998-01-01,67.91811
1999-01-01,69.40418
2000-01-01,71.74786
2001-01-01,73.77557
2002-01-01,74.94568
2003-01-01,76.64702
2004-01-01,78.69904
2005-01-01,81.36910
2006-01-01,83.99402
2007-01-01,86.39009
2008-01-01,89.70670
2009-01-01,89.38775
2010-01-01,90.85375
2011-01-01,93.72185
2012-01-01,95.66128
2013-01-01,97.06255
2014-01-01,98.63712
2015-01-01,98.75413
2016-01-01,100.00000
