,budget_str,currency,currency_iso,budget,budget_USD
0,"$237,000,000",$,USD,237000000.0,237000000.0
1,"$300,000,000",$,USD,300000000.0,300000000.0
2,"$245,000,000",$,USD,245000000.0,245000000.0
3,"$250,000,000",$,USD,250000000.0,250000000.0
5,"$250,000,000",$,USD,250000000.0,250000000.0
6,"$258,000,000",$,USD,258000000.0,258000000.0
7,"$260,000,000",$,USD,260000000.0,260000000.0
8,"$250,000,000",$,USD,250000000.0,250000000.0
9,"$250,000,000",$,USD,250000000.0,250000000.0
10,"$250,000,000",$,USD,250000000.0,250000000.0
11,"$270,000,000",$,USD,270000000.0,270000000.0
12,"$200,000,000",$,USD,200000000.0,200000000.0
13,"$225,000,000",$,USD,225000000.0,225000000.0
14,"$215,000,000",$,USD,215000000.0,215000000.0
15,"$225,000,000",$,USD,225000000.0,225000000.0
16,"$225,000,000",$,USD,225000000.0,225000000.0
17,"$220,000,000",$,USD,220000000.0,220000000.0
18,"$250,000,000",$,USD,250000000.0,250000000.0
19,"$225,000,000",$,USD,225000000.0,225000000.0
20,"$250,000,000",$,USD,250000000.0,250000000.0
21,"$230,000,000",$,USD,230000000.0,230000000.0
22,"$200,000,000",$,USD,200000000.0,200000000.0
23,"$225,000,000",$,USD,225000000.0,225000000.0
24,"$180,000,000",$,USD,180000000.0,180000000.0
25,"$207,000,000",$,USD,207000000.0,207000000.0
26,"$200,000,000",$,USD,200000000.0,200000000.0
27,"$250,000,000",$,USD,250000000.0,250000000.0
28,"$209,000,000",$,USD,209000000.0,209000000.0
29,"$150,000,000",$,USD,150000000.0,150000000.0
30,"$200,000,000",$,USD,200000000.0,200000000.0
31,"$200,000,000",$,USD,200000000.0,200000000.0
32,"$200,000,000",$,USD,200000000.0,200000000.0
33,"$200,000,000",$,USD,200000000.0,200000000.0
34,"$210,000,000",$,USD,210000000.0,210000000.0
35,"$200,000,000",$,USD,200000000.0,200000000.0
36,"$200,000,000",$,USD,200000000.0,200000000.0
37,"$210,000,000",$,USD,210000000.0,210000000.0
38,"$215,000,000",$,USD,215000000.0,215000000.0
39,"$200,000,000",$,USD,200000000.0,200000000.0
40,"$170,000,000",$,USD,170000000.0,170000000.0
41,"$200,000,000",$,USD,200000000.0,200000000.0
42,"$200,000,000",$,USD,200000000.0,200000000.0
43,"$200,000,000",$,USD,200000000.0,200000000.0
44,"$200,000,000",$,USD,200000000.0,200000000.0
45,"$190,000,000",$,USD,190000000.0,190000000.0
46,"$190,000,000",$,USD,190000000.0,190000000.0
47,"$200,000,000",$,USD,200000000.0,200000000.0
48,"$190,000,000",$,USD,190000000.0,190000000.0
49,"$195,000,000",$,USD,195000000.0,195000000.0
50,"$105,000,000",$,USD,105000000.0,105000000.0
51,"$200,000,000",$,USD,200000000.0,200000000.0
52,"$190,000,000",$,USD,190000000.0,190000000.0
53,"$195,000,000",$,USD,195000000.0,195000000.0
54,"$185,000,000",$,USD,185000000.0,185000000.0
55,"$200,000,000",$,USD,200000000.0,200000000.0
56,"$185,000,000",$,USD,185000000.0,185000000.0
57,"$185,000,000",$,USD,185000000.0,185000000.0
58,"$180,000,000",$,USD,180000000.0,180000000.0
59,"$140,000,000",$,USD,140000000.0,140000000.0
60,"$200,000,000",$,USD,200000000.0,200000000.0
61,"$200,000,000",$,USD,200000000.0,200000000.0
62,"$176,000,000",$,USD,176000000.0,176000000.0
63,"$180,000,000",$,USD,180000000.0,180000000.0
64,"$180,000,000",$,USD,180000000.0,180000000.0
65,"$178,000,000",$,USD,178000000.0,178000000.0
66,"$185,000,000",$,USD,185000000.0,185000000.0
67,"$175,000,000",$,USD,175000000.0,175000000.0
68,"$175,000,000",$,USD,175000000.0,175000000.0
69,"$140,000,000",$,USD,140000000.0,140000000.0
70,"$150,000,000",$,USD,150000000.0,150000000.0
71,"$170,000,000",$,USD,170000000.0,170000000.0
72,"$145,000,000",$,USD,145000000.0,145000000.0
73,"$175,000,000",$,USD,175000000.0,175000000.0
74,"$175,000,000",$,USD,175000000.0,175000000.0
75,"$178,000,000",$,USD,178000000.0,178000000.0
76,"$175,000,000",$,USD,175000000.0,175000000.0
77,"$175,000,000",$,USD,175000000.0,175000000.0
78,"$175,000,000",$,USD,175000000.0,175000000.0
79,"$175,000,000",$,USD,175000000.0,175000000.0
80,"$200,000,000",$,USD,200000000.0,200000000.0
81,"$170,000,000",$,USD,170000000.0,170000000.0
82,"$180,000,000",$,USD,180000000.0,180000000.0
83,"$170,000,000",$,USD,170000000.0,170000000.0
84,"$50,000,000",$,USD,50000000.0,50000000.0
85,"$175,000,000",$,USD,175000000.0,175000000.0
86,"$170,000,000",$,USD,170000000.0,170000000.0
87,"$165,000,000",$,USD,165000000.0,165000000.0
88,"$190,000,000",$,USD,190000000.0,190000000.0
89,"$165,000,000",$,USD,165000000.0,165000000.0
90,"$165,000,000",$,USD,165000000.0,165000000.0
91,"$165,000,000",$,USD,165000000.0,165000000.0
92,"$165,000,000",$,USD,165000000.0,165000000.0
93,"$165,000,000",$,USD,165000000.0,165000000.0
94,"$200,000,000",$,USD,200000000.0,200000000.0
95,"$170,000,000",$,USD,170000000.0,170000000.0
96,"$165,000,000",$,USD,165000000.0,165000000.0
97,"$160,000,000",$,USD,160000000.0,160000000.0
99,"$180,000,000",$,USD,180000000.0,180000000.0
100,"$38,000,000",$,USD,38000000.0,38000000.0
101,"$150,000,000",$,USD,150000000.0,150000000.0
102,"$160,000,000",$,USD,160000000.0,160000000.0
103,"$160,000,000",$,USD,160000000.0,160000000.0
104,"$150,000,000",$,USD,150000000.0,150000000.0
105,"$160,000,000",$,USD,160000000.0,160000000.0
106,"$170,000,000",$,USD,170000000.0,170000000.0
107,"$160,000,000",$,USD,160000000.0,160000000.0
108,"$160,000,000",$,USD,160000000.0,160000000.0
109,"$155,000,000",$,USD,155000000.0,155000000.0
110,"$155,000,000",$,USD,155000000.0,155000000.0
111,"$140,000,000",$,USD,140000000.0,140000000.0
112,"$150,000,000",$,USD,150000000.0,150000000.0
113,"$155,000,000",$,USD,155000000.0,155000000.0
114,"$150,000,000",$,USD,150000000.0,150000000.0
115,"$150,000,000",$,USD,150000000.0,150000000.0
116,"$150,000,000",$,USD,150000000.0,150000000.0
117,"$150,000,000",$,USD,150000000.0,150000000.0
118,"$150,000,000",$,USD,150000000.0,150000000.0
119,"$150,000,000",$,USD,150000000.0,150000000.0
120,"$150,000,000",$,USD,150000000.0,150000000.0
121,"$150,000,000",$,USD,150000000.0,150000000.0
122,"$150,000,000",$,USD,150000000.0,150000000.0
123,"$150,000,000",$,USD,150000000.0,150000000.0
124,"$150,000,000",$,USD,150000000.0,150000000.0
125,"$150,000,000",$,USD,150000000.0,150000000.0
126,"$150,000,000",$,USD,150000000.0,150000000.0
127,"$170,000,000",$,USD,170000000.0,170000000.0
128,"$150,000,000",$,USD,150000000.0,150000000.0
129,"$150,000,000",$,USD,150000000.0,150000000.0
130,"$150,000,000",$,USD,150000000.0,150000000.0
131,"$150,000,000",$,USD,150000000.0,150000000.0
132,"$150,000,000",$,USD,150000000.0,150000000.0
133,"$150,000,000",$,USD,150000000.0,150000000.0
134,"$150,000,000",$,USD,150000000.0,150000000.0
